关系类型,源对象,目标对象,关系描述,多重性,约束条件,所属图表,包名
聚合,AbstractPlanExecutor,PlanExecutionRecorder,抽象执行器聚合执行记录器,1:1,,类图,规划系统
依赖,PlanningCoordinator,ExecutionContext,规划协调器依赖执行上下文,1:*,,类图,规划系统
依赖,PlanCreator,ExecutionContext,计划创建器依赖执行上下文,1:*,,类图,规划系统
依赖,AbstractPlanExecutor,ExecutionContext,抽象执行器依赖执行上下文,1:*,,类图,规划系统
依赖,AgentServiceImpl,AgentConfig,智能体服务实现依赖智能体配置,1:*,,类图,业务服务层
依赖,ModelServiceImpl,ModelConfig,模型服务实现依赖模型配置,1:*,,类图,业务服务层
依赖,DynamicAgentEntity,AgentConfig,智能体实体依赖智能体配置,1:1,,类图,数据层
依赖,DynamicModelEntity,ModelConfig,模型实体依赖模型配置,1:1,,类图,数据层
关联,DynamicAgentEntity,DynamicModelEntity,智能体实体关联模型实体,1:1,,类图,数据层
包含,UC01,UC12,提交任务请求包含生成执行计划,1:1,,用例图,任务执行管理
包含,UC01,UC11,提交任务请求包含动态加载智能体,1:1,,用例图,任务执行管理
包含,UC12,UC25,生成执行计划包含渲染提示词模板,1:1,,用例图,计划模板管理
包含,UC06,UC10,创建智能体配置包含获取可用工具列表,1:1,,用例图,智能体管理
包含,UC17,UC18,配置AI模型包含验证模型连接,1:1,,用例图,AI模型管理
包含,UC27,UC28,配置MCP服务器包含管理MCP连接,1:1,,用例图,MCP协议集成
包含,UC01,UC48,提交任务请求包含用户输入处理,1:1,,用例图,任务执行管理
包含,UC06_API,UC10_API,API创建智能体包含获取工具信息,1:1,,用例图,智能体集成
包含,UC17_API,UC18_API,API配置模型包含连接测试,1:1,,用例图,配置管理
包含,UC_BATCH,UC01_API,批量任务处理包含API提交任务,1:*,,用例图,系统集成
包含,UC_INTEGRATION,UC41_API,集成测试包含系统健康检查,1:1,,用例图,系统集成
包含,UC37,UC39,管理系统配置包含查看配置分组,1:1,,用例图,系统配置管理
包含,UC_CONFIG_BACKUP,UC40,配置备份恢复包含导入导出配置,1:1,,用例图,系统配置
包含,UC_DATA_BACKUP,UC_DB_MAINTENANCE,数据备份恢复包含数据库维护,1:1,,用例图,数据管理
扩展,UC47,UC02,实时状态更新扩展查看任务执行状态,1:1,,用例图,用户交互
扩展,UC05,UC01,中断任务执行扩展提交任务请求,1:1,,用例图,任务执行管理
扩展,UC44,UC03,错误处理与恢复扩展获取任务执行结果,1:1,,用例图,监控运维
扩展,UC31,UC29,缓存MCP工具回调扩展调用MCP工具,1:1,,用例图,MCP协议集成
参与,最终用户,UC01,最终用户参与提交任务请求,1:*,,用例图,任务执行管理
参与,最终用户,UC02,最终用户参与查看任务执行状态,1:*,,用例图,任务执行管理
参与,最终用户,UC03,最终用户参与获取任务执行结果,1:*,,用例图,任务执行管理
参与,最终用户,UC04,最终用户参与管理任务执行历史,1:*,,用例图,任务执行管理
参与,最终用户,UC05,最终用户参与中断任务执行,1:*,,用例图,任务执行管理
参与,最终用户,UC45,最终用户参与Web界面操作,1:*,,用例图,用户交互
参与,最终用户,UC47,最终用户参与实时状态更新,1:*,,用例图,用户交互
参与,最终用户,UC48,最终用户参与用户输入处理,1:*,,用例图,用户交互
参与,API客户端/开发者,UC01,API客户端参与提交任务请求,1:*,,用例图,任务执行管理
参与,API客户端/开发者,UC02,API客户端参与查看任务执行状态,1:*,,用例图,任务执行管理
参与,API客户端/开发者,UC03,API客户端参与获取任务执行结果,1:*,,用例图,任务执行管理
参与,API客户端/开发者,UC46,API客户端参与API接口调用,1:*,,用例图,用户交互
参与,API客户端/开发者,UC06,API客户端参与创建智能体配置,1:*,,用例图,智能体管理
参与,API客户端/开发者,UC12,API客户端参与生成执行计划,1:*,,用例图,计划模板管理
参与,系统管理员,UC06,系统管理员参与创建智能体配置,1:*,,用例图,智能体管理
参与,系统管理员,UC07,系统管理员参与编辑智能体配置,1:*,,用例图,智能体管理
参与,系统管理员,UC08,系统管理员参与删除智能体配置,1:*,,用例图,智能体管理
参与,系统管理员,UC09,系统管理员参与查看智能体列表,1:*,,用例图,智能体管理
参与,系统管理员,UC10,系统管理员参与获取可用工具列表,1:*,,用例图,智能体管理
参与,系统管理员,UC11,系统管理员参与动态加载智能体,1:*,,用例图,智能体管理
参与,系统管理员,UC17,系统管理员参与配置AI模型,1:*,,用例图,AI模型管理
参与,系统管理员,UC18,系统管理员参与验证模型连接,1:*,,用例图,AI模型管理
参与,系统管理员,UC19,系统管理员参与获取可用模型类型,1:*,,用例图,AI模型管理
参与,系统管理员,UC20,系统管理员参与管理模型参数,1:*,,用例图,AI模型管理
参与,系统管理员,UC21,系统管理员参与切换模型服务,1:*,,用例图,AI模型管理
参与,系统管理员,UC22,系统管理员参与创建提示词模板,1:*,,用例图,提示词管理
参与,系统管理员,UC23,系统管理员参与编辑提示词,1:*,,用例图,提示词管理
参与,系统管理员,UC24,系统管理员参与管理命名空间,1:*,,用例图,提示词管理
参与,系统管理员,UC25,系统管理员参与渲染提示词模板,1:*,,用例图,提示词管理
参与,系统管理员,UC26,系统管理员参与版本控制提示词,1:*,,用例图,提示词管理
参与,系统管理员,UC27,系统管理员参与配置MCP服务器,1:*,,用例图,MCP协议集成
参与,系统管理员,UC28,系统管理员参与管理MCP连接,1:*,,用例图,MCP协议集成
参与,系统管理员,UC30,系统管理员参与监控MCP状态,1:*,,用例图,MCP协议集成
参与,系统管理员,UC37,系统管理员参与管理系统配置,1:*,,用例图,系统配置管理
参与,系统管理员,UC38,系统管理员参与批量更新配置,1:*,,用例图,系统配置管理
参与,系统管理员,UC39,系统管理员参与查看配置分组,1:*,,用例图,系统配置管理
参与,系统管理员,UC40,系统管理员参与导入导出配置,1:*,,用例图,系统配置管理
参与,系统管理员,UC41,系统管理员参与系统健康检查,1:*,,用例图,监控运维
参与,系统管理员,UC42,系统管理员参与查看系统日志,1:*,,用例图,监控运维
参与,系统管理员,UC43,系统管理员参与性能监控,1:*,,用例图,监控运维
参与,系统管理员,UC44,系统管理员参与错误处理与恢复,1:*,,用例图,监控运维
参与,外部AI服务,UC12,外部AI服务参与生成执行计划,1:*,,用例图,计划模板管理
参与,外部AI服务,UC18,外部AI服务参与验证模型连接,1:*,,用例图,AI模型管理
参与,外部AI服务,UC21,外部AI服务参与切换模型服务,1:*,,用例图,AI模型管理
参与,外部AI服务,UC25,外部AI服务参与渲染提示词模板,1:*,,用例图,提示词管理
参与,外部工具系统,UC32,外部工具系统参与执行浏览器操作,1:*,,用例图,工具生态集成
参与,外部工具系统,UC33,外部工具系统参与运行Python代码,1:*,,用例图,工具生态集成
参与,外部工具系统,UC34,外部工具系统参与执行Shell命令,1:*,,用例图,工具生态集成
参与,外部工具系统,UC29,外部工具系统参与调用MCP工具,1:*,,用例图,MCP协议集成
参与,外部工具系统,UC31,外部工具系统参与缓存MCP工具回调,1:*,,用例图,MCP协议集成
参与,外部工具系统,UC36,外部工具系统参与文件操作管理,1:*,,用例图,工具生态集成
参与,数据库系统,UC04,数据库系统参与管理任务执行历史,1:*,,用例图,任务执行管理
参与,数据库系统,UC13,数据库系统参与保存计划模板,1:*,,用例图,计划模板管理
参与,数据库系统,UC14,数据库系统参与管理计划版本,1:*,,用例图,计划模板管理
参与,数据库系统,UC37,数据库系统参与管理系统配置,1:*,,用例图,系统配置管理
参与,数据库系统,UC42,数据库系统参与查看系统日志,1:*,,用例图,监控运维
