用例编号,用例名称,用例包,主要参与者,次要参与者,前置条件,后置条件,主要流程,扩展流程,包含关系,扩展关系,业务价值,优先级,复杂度
UC20,管理模型参数,AI模型管理,系统管理员,,模型配置已存在,模型参数已更新,管理员调整模型推理参数;测试参数效果;保存参数配置,参数超出范围时显示警告,,,优化模型推理效果,中,中
UC21,切换模型服务,AI模型管理,系统管理员,外部AI服务,存在多个可用模型,模型服务已切换,管理员选择目标模型;系统切换服务连接;验证新服务可用性,切换失败时回滚到原服务,,,在不同AI服务间灵活切换,中,中
UC22,创建提示词模板,提示词管理,系统管理员,,用户具有管理员权限,提示词模板已创建,管理员输入提示词内容;设置变量占位符;配置命名空间;保存模板,模板语法错误时显示提示,,,标准化AI交互的提示词,中,中
UC23,编辑提示词,提示词管理,系统管理员,,提示词模板已存在,提示词已更新,管理员选择要编辑的提示词;修改内容;测试效果;保存变更,编辑冲突时提示用户,,,灵活调整AI交互效果,中,低
UC24,管理命名空间,提示词管理,系统管理员,,系统支持命名空间,命名空间已配置,管理员创建或修改命名空间;设置访问权限;组织提示词,命名空间冲突时提示重命名,,,组织和管理提示词,低,低
UC25,渲染提示词模板,提示词管理,系统管理员,外部AI服务,提示词模板已存在,渲染后的提示词已生成,系统获取模板内容;替换变量占位符;生成最终提示词;发送给AI服务,变量缺失时使用默认值,,,动态生成个性化提示词,高,中
UC26,版本控制提示词,提示词管理,系统管理员,,提示词模板已存在,版本信息已记录,系统自动记录提示词版本;支持版本比较;支持版本回滚,版本冲突时提示解决,,,维护提示词的演进历史,中,低
UC27,配置MCP服务器,MCP协议集成,系统管理员,,用户具有管理员权限,MCP服务器配置已保存,管理员输入服务器连接信息;配置启动参数;测试连接;保存配置,配置错误时显示错误信息,管理MCP连接,,集成外部MCP工具服务,中,中
UC28,管理MCP连接,MCP协议集成,系统管理员,,MCP服务器配置已存在,MCP连接状态已更新,系统建立与MCP服务器的连接;监控连接状态;处理连接异常,连接断开时自动重连,,,维护与MCP服务器的稳定连接,中,中
UC29,调用MCP工具,MCP协议集成,系统管理员,外部工具系统,MCP连接已建立,工具调用结果已返回,系统通过MCP协议调用外部工具;传递调用参数;接收执行结果,调用失败时记录错误日志,,缓存MCP工具回调,扩展系统工具能力,高,中
UC30,监控MCP状态,MCP协议集成,系统管理员,,MCP服务已配置,返回MCP服务状态信息,系统定期检查MCP服务状态;记录状态变化;提供状态报告,服务异常时发送告警,,,确保MCP服务正常运行,中,低
UC31,缓存MCP工具回调,MCP协议集成,系统管理员,外部工具系统,MCP工具调用已发生,工具回调已缓存,系统缓存工具调用结果;优化重复调用性能;管理缓存生命周期,缓存过期时自动清理,,,提高MCP工具调用性能,低,中
UC32,执行浏览器操作,工具生态集成,系统管理员,外部工具系统,浏览器环境已准备,浏览器操作已完成,系统启动浏览器实例;执行自动化操作;获取操作结果;关闭浏览器,操作失败时重试,,,提供网页自动化能力,高,高
UC33,运行Python代码,工具生态集成,系统管理员,外部工具系统,Python环境已安装,代码执行结果已返回,系统接收Python代码;创建执行环境;运行代码;返回执行结果,代码执行超时时终止,,,提供Python计算能力,高,中
UC34,执行Shell命令,工具生态集成,系统管理员,外部工具系统,系统环境已准备,命令执行结果已返回,系统接收Shell命令;验证命令安全性;执行命令;返回执行结果,危险命令被阻止执行,,,提供系统命令执行能力,中,中
UC35,处理表单输入,工具生态集成,系统管理员,最终用户,需要用户输入信息,用户输入已收集,系统显示输入表单;等待用户填写;验证输入数据;处理输入结果,输入验证失败时重新输入,,,支持人机交互式任务,中,低
UC36,文件操作管理,工具生态集成,系统管理员,外部工具系统,文件系统可访问,文件操作已完成,系统接收文件操作请求;验证操作权限;执行文件操作;返回操作结果,权限不足时拒绝操作,,,提供文件系统操作能力,中,低
UC37,管理系统配置,系统配置管理,系统管理员,数据库系统,用户具有管理员权限,系统配置已更新,管理员查看配置分组;修改配置项;验证配置有效性;保存配置,配置冲突时提示解决,查看配置分组,,统一管理系统配置参数,中,中
UC38,批量更新配置,系统配置管理,系统管理员,数据库系统,配置数据已准备,批量配置已更新,管理员上传配置文件;系统解析配置;批量更新配置项;返回更新结果,部分配置更新失败时显示详情,,,提高配置管理效率,中,中
UC39,查看配置分组,系统配置管理,系统管理员,,系统中存在配置分组,返回配置分组信息,用户选择配置分组;系统查询分组下的配置项;返回配置详情,按配置类型过滤显示,,,便于按分组管理配置,低,低
UC40,导入导出配置,系统配置管理,系统管理员,,配置数据已存在,配置已导入或导出,管理员选择导入导出操作;系统处理配置文件;完成导入导出操作,文件格式错误时显示错误,,,支持配置的备份和迁移,中,中
UC41,系统健康检查,监控运维,"系统管理员, API客户端/开发者",,系统正在运行,返回系统健康状态,系统检查各组件状态;检测资源使用情况;生成健康报告,异常组件时发送告警,,,确保系统稳定运行,高,中
UC42,查看系统日志,监控运维,系统管理员,数据库系统,系统正在运行,返回系统日志信息,管理员查询日志;系统从数据库获取日志;格式化显示日志,大量日志时分页显示,,,便于问题诊断和分析,中,低
UC43,性能监控,监控运维,系统管理员,,系统正在运行,返回性能监控数据,系统收集性能指标;分析性能趋势;生成监控报告,性能异常时发送告警,,,优化系统性能,中,中
UC44,错误处理与恢复,监控运维,系统管理员,,系统发生错误,错误已处理或恢复,系统检测到错误;记录错误信息;尝试自动恢复;通知管理员,自动恢复失败时需要人工干预,,,提高系统可用性,高,高
UC45,Web界面操作,用户交互,最终用户,,用户已访问系统,完成界面操作,用户通过浏览器访问系统;进行各种界面操作;系统响应用户操作,界面加载失败时显示错误页面,,,提供友好的用户界面,高,中
UC46,API接口调用,用户交互,API客户端/开发者,,API服务已启动,返回API调用结果,客户端发送API请求;系统处理请求;验证权限;返回响应结果,请求格式错误时返回错误信息,,,支持程序化系统集成,高,中
UC47,实时状态更新,用户交互,最终用户,,任务正在执行,用户收到状态更新,系统监控任务状态变化;推送状态更新;用户界面显示最新状态,网络断开时缓存状态更新,,,提供实时的任务反馈,中,中
UC48,用户输入处理,用户交互,最终用户,,任务需要用户输入,用户输入已处理,系统请求用户输入;显示输入界面;收集用户输入;处理输入数据,输入超时时提示用户,,,支持交互式任务执行,中,低
UC_LLM_CALL,LLM推理调用,AI服务集成,外部AI服务,,AI服务可用,推理结果已返回,系统发送推理请求;AI服务处理请求;返回推理结果,服务不可用时切换备用服务,,,获得AI推理能力,高,中
UC_MODEL_QUERY,模型能力查询,AI服务集成,外部AI服务,,AI服务可用,返回模型能力信息,系统查询模型能力;AI服务返回能力信息;系统缓存能力信息,查询失败时使用缓存信息,,,了解AI模型能力,中,低
UC_AI_HEALTH,连接健康检查,AI服务集成,外部AI服务,,AI服务配置已存在,返回连接健康状态,系统发送健康检查请求;AI服务响应检查;系统记录健康状态,连接异常时标记服务不可用,,,确保AI服务可用性,中,低
UC_LOAD_BALANCE,负载均衡,AI服务集成,外部AI服务,,存在多个AI服务,请求已分发到最优服务,系统评估各服务负载;选择最优服务;分发请求,所有服务不可用时返回错误,,,优化AI服务性能,中,中
UC_CONFIG_STORE,配置数据存储,数据持久化,数据库系统,,数据库连接可用,配置数据已存储,系统格式化配置数据;执行数据库操作;确认存储成功,存储失败时回滚操作,,,持久化系统配置,高,低
UC_TRANSACTION,事务管理,数据持久化,数据库系统,,数据库支持事务,事务已提交或回滚,系统开启数据库事务;执行多个操作;提交或回滚事务,事务冲突时重试操作,,,确保数据一致性,高,中
UC_BATCH,批量任务处理,系统集成,API客户端/开发者,,系统支持批量操作,批量任务已提交,客户端提交批量任务;系统拆分任务;并发执行任务;合并执行结果,部分任务失败时继续执行其他任务,API提交任务,,提高任务处理效率,中,高
UC_INTEGRATION,集成测试,系统集成,API客户端/开发者,,集成环境已准备,测试结果已生成,开发者执行集成测试;系统运行测试用例;验证集成功能;生成测试报告,测试失败时提供详细错误信息,系统健康检查,,验证系统集成质量,中,中
UC11_VER,智能体版本管理,智能体管理,系统管理员,,智能体配置已存在,版本信息已更新,系统记录智能体配置版本;支持版本比较;支持版本回滚,版本冲突时提示解决,,,维护智能体配置历史,中,中
UC_MODEL_MONITOR,模型性能监控,AI模型管理,系统管理员,,AI模型正在使用,返回模型性能数据,系统收集模型调用指标;分析性能趋势;生成监控报告,性能异常时发送告警,,,优化AI模型使用,中,中
UC_PROMPT_TEST,提示词测试,提示词管理,系统管理员,,提示词模板已存在,返回测试结果,管理员输入测试数据;系统渲染提示词;调用AI服务测试;返回测试结果,测试失败时显示错误信息,,,验证提示词效果,中,低
UC_MCP_TOOLS,MCP工具管理,MCP集成管理,系统管理员,,MCP连接已建立,工具管理操作已完成,管理员查看可用MCP工具;配置工具参数;测试工具功能,工具不可用时显示状态,,,管理MCP工具生态,中,中
UC_CONFIG_BACKUP,配置备份恢复,系统配置,系统管理员,,系统配置已存在,配置已备份或恢复,管理员创建配置备份;系统保存备份文件;支持从备份恢复,备份文件损坏时显示错误,导入导出配置,,保护配置数据安全,中,中
UC_USER_MGMT,用户管理,监控运维,系统管理员,,系统支持用户管理,用户信息已更新,管理员管理用户账户;设置用户权限;监控用户活动,用户冲突时提示解决,,,管理系统用户,中,中
UC_PERMISSION,权限管理,监控运维,系统管理员,,用户权限系统已启用,权限配置已更新,管理员配置角色权限;分配用户角色;验证权限有效性,权限冲突时提示解决,,,控制系统访问权限,中,中
UC_DB_MAINTENANCE,数据库维护,数据管理,系统管理员,,数据库正在运行,数据库维护已完成,管理员执行数据库维护操作;优化数据库性能;清理无用数据,维护失败时回滚操作,,,保持数据库健康,中,中
UC_DATA_BACKUP,数据备份恢复,数据管理,系统管理员,,数据库数据已存在,数据已备份或恢复,管理员创建数据备份;系统执行备份操作;支持数据恢复,备份失败时重试操作,数据库维护,,保护重要数据,高,中
UC_DATA_CLEANUP,数据清理,数据管理,系统管理员,,系统中存在过期数据,过期数据已清理,系统识别过期数据;管理员确认清理;执行数据清理;更新统计信息,清理失败时记录错误,,,优化存储空间使用,低,低
UC_REPORTS,统计报表,数据管理,系统管理员,,系统中存在业务数据,统计报表已生成,系统收集业务数据;生成统计分析;创建可视化报表;提供报表下载,数据不足时显示提示,,,提供业务洞察,中,中
